NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0000120,94F,FIREWORKS,1A,103,DISTURBANCE (OTHER),1C,3677228,550814,01/01/2020 12:00:34 AM,01/01/2020 02:34:18 AM,,01/01/2020 06:53:08 AM,NAT,Necessary Action Taken,N,3N01,001XX Blk Riviera Ave,70122,3,POINT (-90.0808922 30.0086791)
A0000220,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3668710,533007,01/01/2020 12:00:42 AM,01/01/2020 12:00:42 AM,01/01/2020 12:00:42 AM,01/01/2020 01:37:16 AM,NAT,Necessary Action Taken,Y,2U04,034XX Broadway St,70125,2,POINT (-90.10840522 29.95996774)
A0000320,94F,FIREWORKS,1A,94F,FIREWORKS,2J,3674930,533982,01/01/2020 12:01:05 AM,01/01/2020 01:49:42 AM,01/01/2020 02:08:17 AM,01/01/2020 02:34:36 AM,NAT,Necessary Action Taken,N,1H02,026XX Banks St,70119,1,POINT (-90.08872937 29.96246347)
A0000420,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3681805,536653,01/01/2020 12:02:50 AM,01/01/2020 12:02:54 AM,01/01/2020 12:09:13 AM,01/01/2020 12:13:45 AM,GOA,GONE ON ARRIVAL,N,1A01,Kerlerec St & N Robertson St,70116,1,POINT (-90.0669267 29.96960271)
A0000520,94F,FIREWORKS,1A,94F,FIREWORKS,2J,3668697,542174,01/01/2020 12:03:46 AM,01/01/2020 12:34:36 AM,,01/01/2020 12:42:13 AM,NAT,Necessary Action Taken,N,3I01,053XX Memphis St,70124,3,POINT (-90.10813674 29.98517428)
A0000620,94F,FIREWORKS,2J,94,DISCHARGING FIREARM,2D,3682984,555752,01/01/2020 12:03:52 AM,01/01/2020 12:12:33 AM,01/01/2020 12:20:30 AM,01/01/2020 12:27:44 AM,NAT,Necessary Action Taken,N,3S01,062XX Vermillion Blvd,70122,3,POINT (-90.06253371 30.02208205)
A0000720,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3665385,536338,01/01/2020 12:04:53 AM,01/01/2020 12:14:32 AM,01/01/2020 12:25:59 AM,01/01/2020 12:38:05 AM,GOA,GONE ON ARRIVAL,N,2S02,Edinburgh St & General Ogden St,70118,2,POINT (-90.11879184 29.96922311)
A0000820,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1J,3679459,545426,01/01/2020 12:05:01 AM,01/01/2020 12:28:05 AM,,01/01/2020 12:32:49 AM,NAT,Necessary Action Taken,N,3M02,015XX Sere St,70122,3,POINT (-90.07403155 29.99379539)
A0000920,62A,"BURGLAR ALARM, SILENT",1A,62A,"BURGLAR ALARM, SILENT",2E,3667995,521887,01/01/2020 12:05:16 AM,01/01/2020 01:00:42 AM,,01/01/2020 01:01:12 AM,VOI,VOID,N,2I02,017XX Valmont St,70115,2,POINT (-90.11103703 29.92941349)
A0001020,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3681919,532231,01/01/2020 12:05:18 AM,01/01/2020 12:05:18 AM,,01/01/2020 12:05:46 AM,RTF,REPORT TO FOLLOW,N,8D05,005XX Blk Bourbon St,70112,8,POINT (-90.06672195 29.95743852)
A2908820,21,COMPLAINT OTHER,1J,103,DISTURBANCE (OTHER),1C,3693117,543549,01/23/2020 03:43:25 PM,,,01/23/2020 03:48:04 PM,VOI,VOID,N,5Q02,031XX Edith Weston Pl,70126,5,POINT (-90.03095555 29.9882151)
A3431420,103,DISTURBANCE (OTHER),1C,103,DISTURBANCE (OTHER),1C,3680127,522106,01/27/2020 06:12:12 PM,01/27/2020 07:29:09 PM,01/27/2020 07:38:13 PM,01/27/2020 08:01:27 PM,NAT,Necessary Action Taken,N,6B02,019XX Laurel St,70130,6,POINT (-90.07273014 29.9296533)
A3197420,62C,SIMPLE BURGLARY VEHICLE,1G,56,SIMPLE CRIMINAL DAMAGE,1F,3675844,519209,01/25/2020 07:17:18 PM,01/25/2020 07:21:09 PM,01/25/2020 07:24:32 PM,01/25/2020 11:02:25 PM,RTF,REPORT TO FOLLOW,N,6A04,009XX Pleasant St,70115,6,POINT (-90.08635297 29.92181594)
A3068420,21,COMPLAINT OTHER,1J,63,PROWLER,2E,3675165,521910,01/24/2020 07:29:19 PM,01/24/2020 07:35:08 PM,01/24/2020 07:44:38 PM,01/24/2020 07:48:58 PM,NAT,Necessary Action Taken,N,6D02,030XX Saint Charles Ave,70115,6,POINT (-90.08840155 29.92926371)
A2439320,21H,HOMELESS,1J,21H,HOMELESS,1J,3677273,533375,01/19/2020 10:01:19 PM,01/19/2020 10:01:19 PM,01/19/2020 10:01:19 PM,01/19/2020 10:19:50 PM,NAT,Necessary Action Taken,Y,1H01,020XX Canal St,70112,1,POINT (-90.08135199 29.9607251)
A2383420,62A,"BURGLAR ALARM, SILENT",2E,62A,"BURGLAR ALARM, SILENT",2E,3666976,547787,01/19/2020 11:53:31 AM,01/19/2020 11:55:16 AM,,01/19/2020 11:59:50 AM,VOI,VOID,N,3E02,060XX Milne Blvd,70124,3,POINT (-90.11338242 30.00065879)
A2397520,62A,"BURGLAR ALARM, SILENT",2E,62A,"BURGLAR ALARM, SILENT",2E,3664331,542176,01/19/2020 02:35:43 PM,,,01/19/2020 02:38:25 PM,VOI,VOID,N,3B01,003XX Fairway Dr,70124,3,POINT (-90.12192796 29.98530628)
D2805720,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,04/24/2020 12:14:42 AM,04/24/2020 12:14:42 AM,04/24/2020 12:14:42 AM,04/24/2020 12:19:56 AM,NAT,Necessary Action Taken,Y,None,Louisville & Lane,None,0,POINT (0 0)
G2621120,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,07/22/2020 12:17:46 AM,07/22/2020 12:17:46 AM,07/22/2020 12:17:46 AM,07/22/2020 12:36:42 AM,NAT,Necessary Action Taken,Y,None,047XX Canal Street,None,0,POINT (0 0)
E2911620,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,05/24/2020 01:10:12 AM,05/24/2020 01:10:12 AM,05/24/2020 01:10:12 AM,05/24/2020 01:24:14 AM,NAT,Necessary Action Taken,Y,None,Fleur De Lis & 39H,None,0,POINT (0 0)
E0620620,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3686744,525293,05/06/2020 01:03:06 AM,05/06/2020 01:03:06 AM,05/06/2020 01:03:06 AM,05/06/2020 01:39:15 AM,NAT,Necessary Action Taken,Y,4A06,Teche St & Mardi Gras Blvd,None,4,POINT (-90.05172864 29.93821553)
D2812720,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,04/24/2020 01:39:18 AM,04/24/2020 01:39:18 AM,04/24/2020 01:39:18 AM,04/24/2020 02:13:21 AM,NAT,Necessary Action Taken,Y,None,Orleans & Chapelle,None,0,POINT (0 0)
I1439220,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,09/12/2020 02:09:22 AM,09/12/2020 02:09:22 AM,09/12/2020 02:09:22 AM,09/12/2020 02:28:15 AM,NAT,Necessary Action Taken,Y,None,S Jeff Davis Pkwy & Toulouse St,None,0,POINT (0 0)
E1633120,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,05/14/2020 02:46:02 AM,05/14/2020 02:46:02 AM,05/14/2020 02:46:02 AM,05/14/2020 02:52:41 AM,NAT,Necessary Action Taken,Y,None,Canal Street & South Rendon Street,None,0,POINT (0 0)
D0392120,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,04/04/2020 02:50:29 AM,04/04/2020 02:50:29 AM,04/04/2020 02:50:29 AM,04/04/2020 03:35:43 AM,NAT,Necessary Action Taken,Y,None,Press Drive & Prentiss,None,0,POINT (0 0)
G1064420,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,07/09/2020 02:36:39 AM,07/09/2020 02:36:39 AM,07/09/2020 02:36:39 AM,07/09/2020 02:37:29 AM,NAT,Necessary Action Taken,Y,None,N Broa & Palm &,None,0,POINT (0 0)
D1350520,67,THEFT,1A,67,THEFT,1G,3680900,532917,04/12/2020 03:30:22 AM,04/12/2020 04:05:56 AM,,04/12/2020 04:06:19 AM,GOA,GONE ON ARRIVAL,N,1E03,005XX N Rampart St,70112,1,POINT (-90.06991538 29.95935566)
D0396020,22A,AREA CHECK,1K,22A,AREA CHECK,1K,0,0,04/04/2020 04:01:02 AM,04/04/2020 04:01:02 AM,04/04/2020 04:01:02 AM,04/04/2020 05:02:10 AM,NAT,Necessary Action Taken,Y,None,008XX Broad Street,None,0,POINT (0 0)
K3306820,24,MEDICAL,2D,24,MEDICAL,2D,37369000,3513814,11/26/2020 02:50:03 AM,11/26/2020 02:50:03 AM,11/26/2020 02:50:20 AM,11/26/2020 03:31:48 AM,NAT,Necessary Action Taken,N,8C02,003XX Royal St,70130,8,POINT (0 0)
F1892820,24,MEDICAL,2D,103M,MENTAL PATIENT,2C,37369000,3513814,06/16/2020 03:32:35 AM,06/16/2020 03:34:22 AM,06/16/2020 03:36:46 AM,06/16/2020 04:42:10 AM,NAT,Necessary Action Taken,N,5H01,018XX Mazant St,70117,5,POINT (0 0)
E0634220,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,0,0,05/06/2020 03:44:10 AM,05/06/2020 03:44:10 AM,05/06/2020 03:44:10 AM,05/06/2020 04:46:59 AM,NAT,Necessary Action Taken,Y,None,027XX S Claiborne Ave,None,0,POINT (0 0)
